Position,english_level,years_experience,cv_text,highlights,looking_for,additional_info
2D Animator,Not stated,3.0,"• Experienced digital artist, able to develop graphics from sketches to final artwork; • Have experience in creating graphic for games (casino, hidden objects, farm-simulators, strategies, etc.), advertisement (banners, promo), some UI; • Concept artist (characters, maps and other game objects); • Have experience with time-lapse animation; • Have experience in leading art team on game project; • Have experience in graphic optimization for better performance; • Understanding of the whole development process of Flash applications; • Good knowledge of Adobe Flash.",Not stated,Not stated,"• Experienced digital artist, able to develop graphics from sketches to final artwork; • Have experience in creating graphic for games (casino, hidden objects, farm-simulators, strategies, etc.), advertisement (banners, promo), some UI; • Concept artist (characters, maps and other game objects); • Have experience with time-lapse animation; • Have experience in leading art team on game project; • Have experience in graphic optimization for better performance; • Understanding of the whole development process of Flash applications; • Good knowledge of Adobe Flash."
2D Animator,Intermediate,3.0,"Hi! My name is Liliia I have more than three years of experience creating 2D animation for cartoons and gaming industry and I have strong understanding of animation principles; I have working knowledge of Photoshop (ability to separate assets from art, making them ready for animation) I have confident knowledge of Spine 2D and Adobe After Effects and ability to animate a range of elements — from characters to effects; I am comfortable working with a team or independently, and I am able to meet deadlines under pressure. You can find my portfolio and more detailed information about my professional skills and previous work experience in the resume attached to this letter. I am looking for a job that allows me to develop my professional and personal qualities and realize acquired knowledge and skills that I have derived from previous job experience. Best regards, Balabanova Liliia",Not stated,Not stated,"Hi! My name is Liliia I have more than three years of experience creating 2D animation for cartoons and gaming industry and I have strong understanding of animation principles; I have working knowledge of Photoshop (ability to separate assets from art, making them ready for animation) I have confident knowledge of Spine 2D and Adobe After Effects and ability to animate a range of elements — from characters to effects; I am comfortable working with a team or independently, and I am able to meet deadlines under pressure. You can find my portfolio and more detailed information about my professional skills and previous work experience in the resume attached to this letter. I am looking for a job that allows me to develop my professional and personal qualities and realize acquired knowledge and skills that I have derived from previous job experience. Best regards, Balabanova Liliia"
2D Animator,Intermediate,2.5,"I am an aspiring Spine 2D animator with a skill in developing engaging characters/objects animations. Interested in joining a team of creative professionals on a long-term contract. Also, I have experience in creation of animations for Gambling Slot games.",Not stated,Not stated,"I am an aspiring Spine 2D animator with a skill in developing engaging characters/objects animations. Interested in joining a team of creative professionals on a long-term contract. Also, I have experience in creation of animations for Gambling Slot games."
2D Animator,Not stated,3.0,"I worked on the CS3 and Fish Dream Blast projects as a technical artist and animator I have experience working as a technical artist and animator. I have worked closely with developers, artists, testers and game designers on such games projects: christmas sweeper 2, christmas sweeper 3, easter sweeper, Fish Dream Blast, christmas sweeper 4, Brave Birds.",I worked on the CS3 and Fish Dream Blast projects as a technical artist and animator,Not stated,"I have experience working as a technical artist and animator. I have worked closely with developers, artists, testers and game designers on such games projects: christmas sweeper 2, christmas sweeper 3, easter sweeper, Fish Dream Blast, christmas sweeper 4, Brave Birds."
2D Animator,Intermediate,6.0,"- Successfully completed Motion Beast course of Motion Design School. - Successfully completed Drawing and Digital Painting Roman Guro course. I’m a 2D animator and illustrator with 6+ years experience, specializing in: • character animation • UI animation • VFX I grasp new animation methods and techniques quickly and make the concepts and ideas streamlined for my customers. Naturally, I'm passionate about drawing illustrations and breathing life into them. Tools I use: • After Effects • Spine • Unity • Adobe Animate • Adobe Illustrator • Adobe Photoshop I would like to join the team of specialists to engage in interesting projects and share experiences with colleagues.",- Successfully completed Motion Beast course of Motion Design School. - Successfully completed Drawing and Digital Painting Roman Guro course.,I would like to join the team of specialists to engage in interesting projects and share experiences with colleagues.,"I’m a 2D animator and illustrator with 6+ years experience, specializing in: • character animation • UI animation • VFX I grasp new animation methods and techniques quickly and make the concepts and ideas streamlined for my customers. Naturally, I'm passionate about drawing illustrations and breathing life into them. Tools I use: • After Effects • Spine • Unity • Adobe Animate • Adobe Illustrator • Adobe Photoshop"
2D Animator,Not stated,2.0,"I'm Rebeca Espindola Recoder, a Mexican artist with a profound love for the world of animation. My heart beats to the rhythm of animators, while my mind operates like a producer. I've found my niche in the enchanting realm of 2D character animation, where I bring characters and stories to life through my artistic talents. Beyond animation, my skill set extends into the realm of marketing, allowing me to bridge the gap between creativity and strategy seamlessly. As a freelancer, I've had the privilege of breathing life into brand identities as a logo animator, infusing them with dynamic flair and character. What sets me apart is my adventurous spirit; I'm always open to new challenges and opportunities. I'm willing to relocate, eager to explore fresh horizons, and committed to infusing creativity into every facet of my professional journey.",Not stated,Not stated,"I'm Rebeca Espindola Recoder, a Mexican artist with a profound love for the world of animation. My heart beats to the rhythm of animators, while my mind operates like a producer. I've found my niche in the enchanting realm of 2D character animation, where I bring characters and stories to life through my artistic talents. Beyond animation, my skill set extends into the realm of marketing, allowing me to bridge the gap between creativity and strategy seamlessly. As a freelancer, I've had the privilege of breathing life into brand identities as a logo animator, infusing them with dynamic flair and character. What sets me apart is my adventurous spirit; I'm always open to new challenges and opportunities. I'm willing to relocate, eager to explore fresh horizons, and committed to infusing creativity into every facet of my professional journey."
2D Animator,Not stated,4.0,"I've been practicing animation for 4 years During my work I've mastered the following software: Spine, Adobe Animate, Blender (2d rig and cut-out animation), Moho, After Effects. Also, my shots are included in some animated series published on youtube. I started creating of animation as a freelancer, my first contracts were commercial and non-commercial short videos. In 2019 I got my first job at the animation studio ""Propellers studio"". There I worked on the ""Grumpy Greg"" animated series for youtube. Now at the new studio Unicorn media I am working on a new project for youtube as a 2D animator and layout artist. Also, since October 2020, I've been working on 2D animation for video game projects as a freelancer. Now my desire is to create animation of characters and objects for videogames. During my work I've mastered the following software: Spine, Adobe Animate, Blender (2d rig and cut-out animation), Moho, After Effects. I'm interested in the character animation for cartoons and video games. Possibility to work by the flexible schedule will be a plus but is not must.","I've been practicing animation for 4 years During my work I've mastered the following software: Spine, Adobe Animate, Blender (2d rig and cut-out animation), Moho, After Effects. Also, my shots are included in some animated series published on youtube.",I'm interested in the character animation for cartoons and video games. Possibility to work by the flexible schedule will be a plus but is not must.,"I started creating of animation as a freelancer, my first contracts were commercial and non-commercial short videos. In 2019 I got my first job at the animation studio ""Propellers studio"". There I worked on the ""Grumpy Greg"" animated series for youtube. Now at the new studio Unicorn media I am working on a new project for youtube as a 2D animator and layout artist. Also, since October 2020, I've been working on 2D animation for video game projects as a freelancer. Now my desire is to create animation of characters and objects for videogames. During my work I've mastered the following software: Spine, Adobe Animate, Blender (2d rig and cut-out animation), Moho, After Effects."
2D Animator,Intermediate,3.0,"• Made rig and animations in the Spine • Created VFX, video previews, and animations in Adobe AE • Created UI/UX • Integrated assets and animations in PixiJS • Made particles in Pixi Particles Editor • Optimized animation projects • Created and fix assets in Photoshop",Not stated,Not stated,"• Made rig and animations in the Spine • Created VFX, video previews, and animations in Adobe AE • Created UI/UX • Integrated assets and animations in PixiJS • Made particles in Pixi Particles Editor • Optimized animation projects • Created and fix assets in Photoshop"
2D Animator,Not stated,4.0,"Playtika - Social Casino Slots (December 2020 - December 2022) 2D Animator / Technical Animator • Creating 2D animation of characters, environment, objects and UI in Spine and AfterEffects • Creating visual effects with the particle systems • Preparation and finalization of sources for animation • Sources optimization and package in TexturePacker • Cooperation with development team on resources’ integration and optimization Parimatch – Betting/Casino (August 2018 – December 2020) Motion Designer / 2D Animator • Creating Motion Graphics (explainer videos, video design, post-production) • 2D/3D animation of characters, environment and objects • Storyboarding • Sound Design Tekrum - CPA Hub (June 2017 – August 2018) Motion Designer / 2D Animator • Creating videos ads for web and social media advertising platforms across different devices • Creating character animation in After Effects Freelance (November 2015 по June 2017) Motion Designer • Creating videos (doodle video, video presentations, video-infographics etc.)",Not stated,Not stated,"Playtika - Social Casino Slots (December 2020 - December 2022) 2D Animator / Technical Animator • Creating 2D animation of characters, environment, objects and UI in Spine and AfterEffects • Creating visual effects with the particle systems • Preparation and finalization of sources for animation • Sources optimization and package in TexturePacker • Cooperation with development team on resources’ integration and optimization Parimatch – Betting/Casino (August 2018 – December 2020) Motion Designer / 2D Animator • Creating Motion Graphics (explainer videos, video design, post-production) • 2D/3D animation of characters, environment and objects • Storyboarding • Sound Design Tekrum - CPA Hub (June 2017 – August 2018) Motion Designer / 2D Animator • Creating videos ads for web and social media advertising platforms across different devices • Creating character animation in After Effects Freelance (November 2015 по June 2017) Motion Designer • Creating videos (doodle video, video presentations, video-infographics etc.)"
2D Animator,Not stated,0.5,"I like to develop in creativity every new day. and any new project of mine is an achievement for me and a start to create an even better next achievement. Previously, I worked as an Art Director on set. Сreated visualizations of the sets and supervised their construction in real time. After gaining experience with the scenery, I increasingly wanted to create them in the virtual world. I have experience with 2D digital drawing, composition and lighting. I'm good at photoshop. Familiar with Illustrator and Blender. Аnd for the last 6 months I have been actively developing in 2D animation. Spine. At the moment, I have collected a small portfolio for myself and gradually replenish it with my work. I enjoy working with animation and I want to develop further on various new projects. I want to study 3d animation in the future. I learn very quickly on new tasks of any complexity, so I'm not afraid to take responsibility for performing different tasks. You can see my work on my Youtube page NikolasKosmit I definitely don't want to stand still. But I want to move forward and towards the achievements of my creativity.",I like to develop in creativity every new day. and any new project of mine is an achievement for me and a start to create an even better next achievement.,I definitely don't want to stand still. But I want to move forward and towards the achievements of my creativity.,"Previously, I worked as an Art Director on set. Сreated visualizations of the sets and supervised their construction in real time. After gaining experience with the scenery, I increasingly wanted to create them in the virtual world. I have experience with 2D digital drawing, composition and lighting. I'm good at photoshop. Familiar with Illustrator and Blender. Аnd for the last 6 months I have been actively developing in 2D animation. Spine. At the moment, I have collected a small portfolio for myself and gradually replenish it with my work. I enjoy working with animation and I want to develop further on various new projects. I want to study 3d animation in the future. I learn very quickly on new tasks of any complexity, so I'm not afraid to take responsibility for performing different tasks. You can see my work on my Youtube page NikolasKosmit"
2D Animator,Not stated,7.0,"Skilled 2D Animator specializing in betting and casino industrie. Spine, After Effects, Unity 3D, Cocos 2d, Photoshop, Sprite Builder. Deep knowledge of builds optimization. Quality control and overall animation style as required. Understanding of all standard slot mechanics. The ability to cause the player to have an inexpressible sensation at a boring moment through animation. Creative thinking, the ability to solve non-standard tasks with simple methods. Communication skills, respect and empathy for the team, the ability to train staff and pull up weaknesses.",Not stated,Not stated,"Skilled 2D Animator specializing in betting and casino industrie. Spine, After Effects, Unity 3D, Cocos 2d, Photoshop, Sprite Builder. Deep knowledge of builds optimization. Quality control and overall animation style as required. Understanding of all standard slot mechanics. The ability to cause the player to have an inexpressible sensation at a boring moment through animation. Creative thinking, the ability to solve non-standard tasks with simple methods. Communication skills, respect and empathy for the team, the ability to train staff and pull up weaknesses."
2D Animator,Intermediate,11.0,"SKYWIND GROUP 2D Animator, technical artist September 2017 — until now Creating symbol, dialogue and character animations for slots and arcadian games according to technical and aesthetic requirements. Creating Promo movies about our games for marketing and supporting. Creating animations in Spine and After Effects. Before that, I worked as a graphic designer and art director in different creative studios and editorials of magazines for more than 12 years. 2D Animation for mobile games in Spine and After Effects",Not stated,2D Animation for mobile games in Spine and After Effects,"SKYWIND GROUP 2D Animator, technical artist September 2017 — until now Creating symbol, dialogue and character animations for slots and arcadian games according to technical and aesthetic requirements. Creating Promo movies about our games for marketing and supporting. Creating animations in Spine and After Effects. Before that, I worked as a graphic designer and art director in different creative studios and editorials of magazines for more than 12 years."
2D Animator,Not stated,2.5,"Worked for 1.5 years as a 2d Animator, creating props, characters and vfx animations, using company's engine. Participating in the creation of animated music clips and youtube series in indie animation studio, using Spine2D Have one year experience working as a Technical artist, integrating art and animations and optimizing assets. I'm highly interested in doing more chalenging animations, using Spine2d. I'm passionate about animation in general, but specifically want to polish my skills in character animation. Not interested in motion design, slot games and applying specifically on vfx artist position",Not stated,"Not interested in motion design, slot games and applying specifically on vfx artist position","Worked for 1.5 years as a 2d Animator, creating props, characters and vfx animations, using company's engine. Participating in the creation of animated music clips and youtube series in indie animation studio, using Spine2D Have one year experience working as a Technical artist, integrating art and animations and optimizing assets. I'm highly interested in doing more chalenging animations, using Spine2d. I'm passionate about animation in general, but specifically want to polish my skills in character animation."
2D Animator,Intermediate,7.0,"-Character and object animation -Ambient animation, create visual effects -Special Messages animations,Transition animation, Logo animation -Optimization -Organization of the workflow for the team of animators",Not stated,Not stated,"-Character and object animation -Ambient animation, create visual effects -Special Messages animations,Transition animation, Logo animation -Optimization -Organization of the workflow for the team of animators"
2D Animator,Not stated,2.5,"Spine animation course Classic 2d animation base course Fast learning. Drawing with pentablet. Creating 2d Animation in Spine (backgrounds, characters, symbols, effects). Creating 2d effects and previews in After Effect. Slight knowledge of blender - creating small 3d sprites, working with Grease Pencil, drawn animatics, primitive rigging. Looking for more interesting tasks and more knowledge. Hope to find interesting tasks and development for my skills.",Spine animation course Classic 2d animation base course Fast learning.,Hope to find interesting tasks and development for my skills.,"Drawing with pentablet. Creating 2d Animation in Spine (backgrounds, characters, symbols, effects). Creating 2d effects and previews in After Effect. Slight knowledge of blender - creating small 3d sprites, working with Grease Pencil, drawn animatics, primitive rigging. Looking for more interesting tasks and more knowledge."
2D Animator,Not stated,2.0,"I’m graduated with a bachelor's degree in Animation and Graphic Design from a Polish university, Collegium da Vinci. I have been working as a freelancer of 2D animation for two years now,but I'm interested in trying a job with a permanent employer. I have 3+ years of experience in 2d animation. I worked with skeletal animation, with frame-by-frame animation. In most animations I use illustrations created by me. A lot of experience in children's animation, created clips for songs and also animated stories. I work in Adobe Animate, After Effects and in Spine.",Not stated,Not stated,"I’m graduated with a bachelor's degree in Animation and Graphic Design from a Polish university, Collegium da Vinci. I have been working as a freelancer of 2D animation for two years now,but I'm interested in trying a job with a permanent employer. I have 3+ years of experience in 2d animation. I worked with skeletal animation, with frame-by-frame animation. In most animations I use illustrations created by me. A lot of experience in children's animation, created clips for songs and also animated stories. I work in Adobe Animate, After Effects and in Spine."
2D Animator,Intermediate,4.0,"In my current role, I am engaged in character animation and UI animation for games, as well as assembling in-game cutscenes and promotional videos. I take great pride in my achievements over the past 10 months, during which I actively contributed to the development of a new educational application, becoming an integral part of the team. My animation skills have allowed me to make a significant impact on creating fun and endearing character animations and interactive game elements. I actively participated in shaping the animation and artistic aspects of the project, closely collaborating with the development department to optimize processes and successfully implement the game designer's ideas. Additionally, I was entrusted with the role of mentoring a couple of animators, helping them adapt to working within the team.",Not stated,Not stated,"In my current role, I am engaged in character animation and UI animation for games, as well as assembling in-game cutscenes and promotional videos. I take great pride in my achievements over the past 10 months, during which I actively contributed to the development of a new educational application, becoming an integral part of the team. My animation skills have allowed me to make a significant impact on creating fun and endearing character animations and interactive game elements. I actively participated in shaping the animation and artistic aspects of the project, closely collaborating with the development department to optimize processes and successfully implement the game designer's ideas. Additionally, I was entrusted with the role of mentoring a couple of animators, helping them adapt to working within the team."
2D Animator,Intermediate,6.0,"As an animator, as part of the art team & developers, I took part in the creation of casual games for smartphones, tables, PC/Mac in the following genres: match-3, city builder, time-management games, simulator, pazzle, bubble shooter. I work in programs: Spine 2D, Adobe Animate, Unity, Adobe After Effects, DragonBones. I also have experience with 3D software - Maya, Blender. Responsibilities: 1) Сollaborating with the art team and developers to create a high-quality animation 2) Preparing graphics for animation: cutting, drawing the necessary elements, optimization (Photoshop) 3) 2D animation: - ui, objects, locations, vfx (Adobe Animate/Spine 2D/Unity) - characters: planning, rigging and animation (Spine 2D/Adobe Animate) 4) Working with Git (basic) 5) Importing animation to the game (*Unity) 6) Reporting: jira/confluence/slack * Gamedev * Preference for product companies * Comfortable salary range: 1800-2000$ * Game genres: casual, match-3, city builder, time-management games, simulator, pazzle, bubble shooter, adventure, quest, hog * Currently I more focused on character animation in Spine 2D * I'm not interested iGaming sphere products - slots/casino etc.",Not stated,"* Gamedev * Preference for product companies * Comfortable salary range: 1800-2000$ * Game genres: casual, match-3, city builder, time-management games, simulator, pazzle, bubble shooter, adventure, quest, hog * Currently I more focused on character animation in Spine 2D * I'm not interested iGaming sphere products - slots/casino etc.","As an animator, as part of the art team & developers, I took part in the creation of casual games for smartphones, tables, PC/Mac in the following genres: match-3, city builder, time-management games, simulator, pazzle, bubble shooter. I work in programs: Spine 2D, Adobe Animate, Unity, Adobe After Effects, DragonBones. I also have experience with 3D software - Maya, Blender. Responsibilities: 1) Сollaborating with the art team and developers to create a high-quality animation 2) Preparing graphics for animation: cutting, drawing the necessary elements, optimization (Photoshop) 3) 2D animation: - ui, objects, locations, vfx (Adobe Animate/Spine 2D/Unity) - characters: planning, rigging and animation (Spine 2D/Adobe Animate) 4) Working with Git (basic) 5) Importing animation to the game (*Unity) 6) Reporting: jira/confluence/slack"
2D Animator,Intermediate,0.5,"I am a junior Spine 2D animator. For the last 4 months I have been studying hard and gaining experience from a wonderful teacher Katerina Mogilko at her Kate Motion Academy. At the moment, I have experience in creating different characters, their emotions and skills, walking animation, portrait animation, creating pseudo-3D (2.5) effect, difficult rigs and connecting bones, rotating an object 360 degrees, VFX and many other skills. I am very grateful to Katya for all this knowledge and now I am ready to put it into practice)",Not stated,Not stated,"I am a junior Spine 2D animator. For the last 4 months I have been studying hard and gaining experience from a wonderful teacher Katerina Mogilko at her Kate Motion Academy. At the moment, I have experience in creating different characters, their emotions and skills, walking animation, portrait animation, creating pseudo-3D (2.5) effect, difficult rigs and connecting bones, rotating an object 360 degrees, VFX and many other skills. I am very grateful to Katya for all this knowledge and now I am ready to put it into practice)"
2D Animator,Intermediate,4.0,"I have experience with casino games and casual games as well, knowledge of the corresponding software (Adobe Photoshop, Adobe After Effects, Spine, Adobe Animate), can handle all aspects of the animation production pipeline, from concept to final implementation. I always keep an eye for detail and have passion, desire to learn and develop.",Not stated,Not stated,"I have experience with casino games and casual games as well, knowledge of the corresponding software (Adobe Photoshop, Adobe After Effects, Spine, Adobe Animate), can handle all aspects of the animation production pipeline, from concept to final implementation. I always keep an eye for detail and have passion, desire to learn and develop."
2D Animator,Not stated,3.0,"I have more than 7 years of experience working with graphic editors. In my work, I am helped by the ability to learn new things quickly, orientation to results, high work efficiency and stress resistance. Higher technical education gives an opportunity to independently master new programs, based on previous knowledge. I have successful experience working on projects in a team. Responsible and goal-oriented, I adore the creative side of my profession and always admire the result.",Not stated,Not stated,"I have more than 7 years of experience working with graphic editors. In my work, I am helped by the ability to learn new things quickly, orientation to results, high work efficiency and stress resistance. Higher technical education gives an opportunity to independently master new programs, based on previous knowledge. I have successful experience working on projects in a team. Responsible and goal-oriented, I adore the creative side of my profession and always admire the result."
2D Animator,Not stated,4.0,"I'm a senior 2D Spine animator. With a keen eye for detail and a vivid imagination, I bring mobile games to life with high-quality animations that captivate players and keep them coming back for more. Using my extensive experience in Spine, I specialize in creating animations that have their own unique character, bringing a touch of personality and charm to every project I work on. But my talents don't stop there! In addition to my animation work, I'm also passionate about sports, advertising, marketing, financial literacy, and learning foreign languages. Whether I'm crafting a stunning animation or exploring a new language, I approach everything I do with the same level of enthusiasm and dedication. I'm always looking for new challenges and opportunities to grow, and I can't wait to see where my skills and passions take me next!",Not stated,Not stated,"I'm a senior 2D Spine animator. With a keen eye for detail and a vivid imagination, I bring mobile games to life with high-quality animations that captivate players and keep them coming back for more. Using my extensive experience in Spine, I specialize in creating animations that have their own unique character, bringing a touch of personality and charm to every project I work on. But my talents don't stop there! In addition to my animation work, I'm also passionate about sports, advertising, marketing, financial literacy, and learning foreign languages. Whether I'm crafting a stunning animation or exploring a new language, I approach everything I do with the same level of enthusiasm and dedication. I'm always looking for new challenges and opportunities to grow, and I can't wait to see where my skills and passions take me next!"
2D Animator,Intermediate,3.0,"On one of the previous projects, I participated in the launch of the Ice Molly animated series on YouTube as a 2d animator. Skilled animator with 3 years experience and a great sense of timing for action sequences and acting. Practiced with a 2D character rig. Experienced in animation on a series production. I am interested in projects where I can prove myself as a 2d animator. Both casual games and gambling are interesting. Most of the time I like animating characters.","On one of the previous projects, I participated in the launch of the Ice Molly animated series on YouTube as a 2d animator.",I am interested in projects where I can prove myself as a 2d animator. Both casual games and gambling are interesting. Most of the time I like animating characters.,Skilled animator with 3 years experience and a great sense of timing for action sequences and acting. Practiced with a 2D character rig. Experienced in animation on a series production.
2D Animator,Basic,3.0,"Spine Adobe package: After Effects, Photoshop, Illustrator. Crazy Talk Animation of casino games. Animation of commercials for Googl play, Facebook, etc. Animation of locations and characters for casual computer games, creating video cutscenes, lip-syncing characters. Processing and preparation PSD sources. Creative thinking; The ability to quickly find solutions for new problems; Sincere passion for the process of creating animation; High level of self-discipline;",Not stated,Not stated,"Spine Adobe package: After Effects, Photoshop, Illustrator. Crazy Talk Animation of casino games. Animation of commercials for Googl play, Facebook, etc. Animation of locations and characters for casual computer games, creating video cutscenes, lip-syncing characters. Processing and preparation PSD sources. Creative thinking; The ability to quickly find solutions for new problems; Sincere passion for the process of creating animation; High level of self-discipline;"
2D Animator,Intermediate,2.0,Tools: - Spine; - Adobe Photoshop; - Adobe After Effects. Experience: >1.5 year in product company (casual games). I create animations for: -characters; -animals; -environment; -effects. Thank you for the suggestions.,Not stated,Not stated,Tools: - Spine; - Adobe Photoshop; - Adobe After Effects. Experience: >1.5 year in product company (casual games). I create animations for: -characters; -animals; -environment; -effects. Thank you for the suggestions.
